"latitude";"longitude";"unixtime";"velocidad";"file_name"
41.901189;12.500909;12:00:32;0;182
41.909928;12.487943;12:00:32;0;24
41.919493;12.494926;12:00:32;0;3
41.901247;12.501070;12:00:33;0;106
41.903843;12.489094;12:00:33;0;131
41.909296;12.508472;12:00:33;37;330
41.907566;12.490560;12:00:33;0;349
41.880483;12.508488;12:00:33;0;363
41.907645;12.490327;12:00:33;0;81
41.901318;12.501065;12:00:34;0;246
41.899639;12.491671;12:00:34;25;261
41.912392;12.497914;12:00:34;0;262
41.903078;12.496072;12:00:35;0;100
41.906508;12.481830;12:00:35;0;107
41.902328;12.483968;12:00:35;1;256
41.908001;12.491591;12:00:35;2;320
41.917897;12.491655;12:00:35;0;75
41.902758;12.485462;12:00:36;0;126
41.904433;12.501991;12:00:36;0;303
41.903611;12.488528;12:00:36;3;85
41.899498;12.491396;12:00:37;10;119
41.896659;12.500843;12:00:37;36;169
41.907981;12.491878;12:00:37;0;237
41.900558;12.480599;12:00:37;19;294
41.900913;12.512267;12:00:37;22;339
41.907417;12.498883;12:00:38;11;367
41.919590;12.500553;12:00:38;4;88
41.902750;12.499804;12:00:39;0;287
41.916323;12.494083;12:00:39;25;301
41.886822;12.507795;12:00:39;0;31
41.902210;12.502619;12:00:39;2;84
41.897327;12.498012;12:00:40;0;113
41.893275;12.486941;12:00:40;2;186
41.904229;12.494380;12:00:40;0;242
41.906339;12.481685;12:00:40;0;253
41.905907;12.489741;12:00:40;0;48
41.910979;12.498419;12:00:41;1;194
41.900932;12.480483;12:00:41;23;200
41.901394;12.501232;12:00:42;0;110
41.907455;12.498810;12:00:42;21;171
41.909928;12.487943;12:00:42;0;24
41.917901;12.491611;12:00:43;0;138
41.901189;12.500909;12:00:43;0;182
41.919493;12.494926;12:00:43;0;3
41.908910;12.507344;12:00:43;45;330
41.880483;12.508488;12:00:43;0;363
41.907645;12.490327;12:00:43;0;81
41.901247;12.501070;12:00:44;0;106
41.903843;12.489094;12:00:44;0;131
41.901318;12.501065;12:00:44;0;246
41.912392;12.497914;12:00:44;0;262
41.903083;12.496089;12:00:45;1;100
41.905970;12.504978;12:00:45;0;141
41.905970;12.504978;12:00:45;29;141
41.896207;12.501598;12:00:45;26;169
41.902355;12.483972;12:00:45;0;256
41.900094;12.492378;12:00:45;31;261
41.907958;12.491626;12:00:45;0;320
41.907566;12.490560;12:00:45;0;349
41.917897;12.491655;12:00:45;0;75
41.900159;12.480823;12:00:46;0;294
41.904433;12.501991;12:00:46;0;303
41.907625;12.499011;12:00:46;50;367
41.906508;12.481830;12:00:47;0;107
41.899378;12.491093;12:00:47;0;119
41.902758;12.485462;12:00:47;2;126
41.901467;12.512211;12:00:47;11;339
41.903636;12.488644;12:00:47;0;85
41.905828;12.504753;12:00:48;15;141
41.919683;12.500635;12:00:48;0;88
41.907976;12.491887;12:00:49;0;237
41.904228;12.494380;12:00:49;0;242
41.906339;12.481685;12:00:49;0;253
41.902750;12.499804;12:00:49;0;287
41.915686;12.494165;12:00:49;34;301
41.902162;12.502681;12:00:49;2;84
41.893240;12.487001;12:00:50;16;186
41.905907;12.489741;12:00:50;8;48
41.901394;12.501232;12:00:51;0;110
41.907939;12.498801;12:00:51;31;171
41.910967;12.498372;12:00:51;0;194
41.901525;12.480386;12:00:51;4;200
41.897335;12.497994;12:00:52;1;113
41.917890;12.491603;12:00:52;2;138
41.901189;12.500909;12:00:52;0;182
41.909928;12.487943;12:00:52;0;24
41.919493;12.494926;12:00:52;0;3
41.886822;12.507795;12:00:52;0;31
41.880483;12.508488;12:00:52;0;363
41.903843;12.489094;12:00:53;0;131
41.908554;12.505898;12:00:53;19;330
41.907566;12.490560;12:00:53;0;349
41.907645;12.490327;12:00:53;0;81
41.901247;12.501070;12:00:54;0;106
41.902355;12.483972;12:00:54;0;256
41.900553;12.493106;12:00:54;0;261
41.912392;12.497914;12:00:54;0;262
41.907958;12.491626;12:00:54;0;320
41.901651;12.512123;12:00:54;16;339
41.903101;12.496113;12:00:55;1;100
41.906508;12.481830;12:00:55;0;107
41.895828;12.502320;12:00:55;20;169
41.901318;12.501065;12:00:55;0;246
41.904433;12.501991;12:00:55;0;303
41.917897;12.491655;12:00:55;0;75
41.902769;12.485533;12:00:56;0;126
41.908855;12.498621;12:00:56;27;367
41.903636;12.488644;12:00:56;0;85
41.907974;12.491890;12:00:57;0;237
41.900159;12.480823;12:00:57;7;294
41.886822;12.507795;12:00:57;0;31
41.919683;12.500635;12:00:57;0;88
41.897323;12.498027;12:01:00;1;113
41.905504;12.504290;12:01:00;13;141
41.893014;12.487452;12:01:00;32;186
41.910982;12.498370;12:01:00;0;194
41.904234;12.494389;12:01:00;0;242
41.902750;12.499804;12:01:00;0;287
41.914749;12.493961;12:01:00;27;301
41.901878;12.511970;12:01:00;0;339
41.906118;12.489707;12:01:00;0;48
41.902116;12.502723;12:01:00;0;84
41.901394;12.501232;12:01:01;0;110
41.899378;12.491093;12:01:01;0;119
41.901616;12.480477;12:01:01;22;200
41.906339;12.481685;12:01:01;0;253
41.917940;12.491601;12:01:02;0;138
41.909928;12.487943;12:01:02;0;24
41.880483;12.508488;12:01:02;4;363
41.903843;12.489094;12:01:03;0;131
41.919493;12.494926;12:01:03;0;3
41.908946;12.498619;12:01:04;30;171
41.901318;12.501065;12:01:04;0;246
41.912392;12.497914;12:01:04;0;262
41.907958;12.491626;12:01:04;0;320
41.907645;12.490327;12:01:04;0;81
41.903138;12.496089;12:01:05;2;100
41.901247;12.501070;12:01:05;0;106
41.906508;12.481830;12:01:05;0;107
41.901189;12.500909;12:01:05;0;182
41.902355;12.483972;12:01:05;0;256
41.904433;12.501991;12:01:05;0;303
41.902769;12.485533;12:01:06;6;126
41.895404;12.502813;12:01:06;8;169
41.917897;12.491655;12:01:06;0;75
41.903634;12.488655;12:01:06;0;85
41.899378;12.491093;12:01:07;0;119
41.907974;12.491890;12:01:07;0;237
41.900553;12.493106;12:01:07;0;261
41.899970;12.480888;12:01:07;2;294
41.886822;12.507795;12:01:07;6;31
41.909575;12.498371;12:01:07;9;367
41.919683;12.500635;12:01:07;0;88
41.901874;12.511965;12:01:08;0;339
41.907566;12.490560;12:01:08;1;349
41.897293;12.498052;12:01:09;1;113
41.905300;12.503983;12:01:09;36;141
41.902116;12.502723;12:01:09;0;84
41.892581;12.488379;12:01:10;50;186
41.904229;12.494402;12:01:10;0;242
41.906339;12.481685;12:01:10;0;253
41.902750;12.499804;12:01:10;0;287
41.914077;12.493735;12:01:10;33;301
41.906118;12.489707;12:01:10;6;48
41.901394;12.501232;12:01:11;0;110
41.910982;12.498370;12:01:11;0;194
41.901787;12.481190;12:01:11;12;200
41.908298;12.504778;12:01:11;20;330
41.909542;12.498446;12:01:12;15;171
41.880381;12.508475;12:01:12;0;363
41.903843;12.489094;12:01:13;0;131
41.917962;12.491606;12:01:13;0;138
41.901189;12.500909;12:01:13;0;182
41.909928;12.487943;12:01:13;0;24
41.919493;12.494926;12:01:13;0;3
41.907555;12.490589;12:01:13;0;349
41.901247;12.501070;12:01:14;0;106
41.907958;12.491626;12:01:14;0;320
41.908215;12.504608;12:01:14;0;330
41.908215;12.504608;12:01:14;0;330
41.907645;12.490327;12:01:14;0;81
41.906508;12.481830;12:01:15;0;107
41.895213;12.502749;12:01:15;7;169
41.902355;12.483972;12:01:15;0;256
41.904433;12.501991;12:01:15;1;303
41.908215;12.504608;12:01:15;0;330
41.903134;12.496164;12:01:16;1;100
41.901318;12.501065;12:01:16;0;246
41.900553;12.493106;12:01:16;0;261
41.912392;12.497914;12:01:16;0;262
41.909777;12.498392;12:01:16;23;367
41.917897;12.491655;12:01:16;0;75
41.903634;12.488655;12:01:16;0;85
41.902842;12.485753;12:01:17;23;126
41.907974;12.491890;12:01:17;0;237
41.886676;12.507899;12:01:17;1;31
41.899378;12.491093;12:01:18;0;119
41.899909;12.480950;12:01:18;0;294
41.901874;12.511965;12:01:18;0;339
41.919683;12.500635;12:01:18;0;88
41.904737;12.503036;12:01:19;19;141
41.904227;12.494410;12:01:19;0;242
41.902750;12.499804;12:01:19;0;287
41.913415;12.493244;12:01:19;24;301
41.906072;12.489513;12:01:19;12;48
41.902116;12.502723;12:01:20;0;84
41.897238;12.498039;12:01:21;1;113
41.891780;12.489888;12:01:21;28;186
41.910982;12.498370;12:01:21;0;194
41.901839;12.481599;12:01:21;9;200
41.906339;12.481685;12:01:21;0;253
41.917954;12.491607;12:01:22;0;138
41.909938;12.498497;12:01:22;8;171
41.909928;12.487943;12:01:22;2;24
41.919493;12.494926;12:01:22;0;3
41.880393;12.508471;12:01:22;0;363
41.901394;12.501232;12:01:23;0;110
41.907560;12.490589;12:01:23;0;349
41.907645;12.490327;12:01:23;0;81
41.903843;12.489094;12:01:24;0;131
41.901189;12.500909;12:01:24;0;182
41.901318;12.501065;12:01:24;0;246
41.907958;12.491626;12:01:24;2;320
41.903107;12.496165;12:01:25;0;100
41.901247;12.501070;12:01:25;0;106
41.906508;12.481830;12:01:25;0;107
41.895047;12.502641;12:01:25;12;169
41.912392;12.497914;12:01:25;19;262
41.908193;12.504622;12:01:25;0;330
41.917897;12.491655;12:01:25;0;75
41.903077;12.486379;12:01:26;27;126
41.902355;12.483972;12:01:26;0;256
41.900553;12.493106;12:01:26;0;261
41.904403;12.502037;12:01:26;0;303
41.903634;12.488655;12:01:26;0;85
41.899378;12.491093;12:01:27;15;119
41.907974;12.491890;12:01:27;0;237
41.899909;12.480950;12:01:27;3;294
41.910220;12.498998;12:01:27;20;367
41.886648;12.507856;12:01:28;1;31
